control_record_id,path,record_type,authority_status,owner,validation_contract_id,allowed_writers,allowed_readers,related_agentjob_id,supersedes,source_hash,last_validated_at,notes
ctrl_phase1_smoke_agentjob,control_records/examples/phase1_smoke_agentjob.yaml,agentjob,controlled,implementation_initialization,contract_agentjob,implementation_initialization_agent,all_agents,AJ-P1-SMOKE-001,,pending,pending,Existing smoke-test AgentJob
ctrl_skill_sync_agentjob,control_records/agentjobs/AJ-P1-SKILL-SYNC-001.yaml,agentjob,controlled,skill_governance,contract_agentjob,skill_integration_agent,all_agents,AJ-P1-SKILL-SYNC-001,,pending,pending,Skill integration AgentJob
ctrl_codex_metrics_agentjob,control_records/agentjobs/AJ-P1-CODEX-METRICS-ADAPT-001.yaml,agentjob,controlled,runtime_session_accounting,contract_agentjob,skill_dependency_adaptation_agent,all_agents,AJ-P1-CODEX-METRICS-ADAPT-001,,pending,pending,Codex metrics adaptation AgentJob
ctrl_system_definition_template_agentjob,control_records/agentjobs/AJ-P1-SYSTEM-DEFINITION-TEMPLATE-001.yaml,agentjob,controlled,system_definition,contract_agentjob,system_definition_template_agent,all_agents,AJ-P1-SYSTEM-DEFINITION-TEMPLATE-001,,pending,pending,System-definition template AgentJob
ctrl_skill_import_manifest,control_records/examples/skill_import_manifest.yaml,skill_import_manifest,controlled,skill_governance,,skill_integration_agent,all_agents,,,pending,pending,Existing skill import manifest without executable JSON Schema contract yet
ctrl_handoff_example,control_records/examples/handoff.example.yaml,handoff,controlled,implementation_initialization,contract_handoff,implementation_initialization_agent,all_agents,,,pending,pending,Example handoff
ctrl_completion_receipt_example,control_records/examples/completion_receipt.example.yaml,completion_receipt,controlled,implementation_initialization,contract_completion_receipt,implementation_initialization_agent,all_agents,,,pending,pending,Example completion receipt
ctrl_state_snapshot_example,control_records/examples/state_snapshot.example.yaml,state_snapshot,controlled,implementation_initialization,contract_state_snapshot,implementation_initialization_agent,all_agents,,,pending,pending,Example bounded state snapshot
ctrl_program_state,control_records/program_state.yaml,program_state,controlled,control_loop,contract_program_state,control_loop_engineer;system_director,all_agents,,,pending,pending,Current tracked continuation state for sys-for-ai self-hosting implementation
ctrl_memory_preflight_example,control_records/memory_preflights/memory_preflight_receipt.example.yaml,memory_preflight_receipt,controlled,source_first_memory,contract_memory_preflight_receipt,memory_engineer;control_loop_engineer,all_agents,AJ-P1-SKILL-SYNC-001,,pending,pending,Example memory preflight receipt with source and registry inspection evidence
ctrl_selfhost_director_decision,control_records/director_decisions/DDR-P1-SELFHOST-001.yaml,director_decision,controlled,control_loop,contract_director_decision,system_director,all_agents,AJ-P1-SELFHOST-CONTINUE-KERNEL-001,,pending,pending,Director decision selecting the Phase 5 continue packet kernel AgentJob
ctrl_selfhost_continue_kernel_agentjob,control_records/agentjobs/AJ-P1-SELFHOST-CONTINUE-KERNEL-001.yaml,agentjob_v0_2,controlled,control_loop,contract_agentjob_v0_2,control_loop_engineer,all_agents,AJ-P1-SELFHOST-CONTINUE-KERNEL-001,,pending,pending,Operational AgentJob for Phase 5 continue packet kernel
