relationship_id,subject_id,predicate,object_id,evidence_path,notes
REL-DISCOVERY-VALIDATOR-IMPLEMENTS-SCHEMA,SRC-VALIDATOR-DISCOVERY,implements,SRC-SCHEMA-DISCOVERY-RECORD,sys-for-ai/sys_for_ai/discovery.py,Validator enforces the discovery-record contract and authority markers.
REL-DISCOVERY-CLI-EXPOSES-VALIDATOR,SRC-CLI-PHASE1,exposes,SRC-VALIDATOR-DISCOVERY,sys-for-ai/sys_for_ai/cli.py,CLI command validate-discovery-record invokes the discovery validator.
REL-DISCOVERY-MAKE-RUNS-VALIDATOR,SRC-MAKE-PHASE1,runs,SRC-VALIDATOR-DISCOVERY,sys-for-ai/Makefile,Make target validate-discovery-template validates the controlled discovery template.
REL-DISCOVERY-TEMPLATE-CONFORMS-SCHEMA,SRC-TEMPLATE-RDR,conforms_to,SRC-SCHEMA-DISCOVERY-RECORD,sys-for-ai/templates/system_definition/requirements-discovery-record-template.md,Template supplies required sections and draft authority markers.
REL-SYSDEF-SKILL-USES-DISCOVERY-TEMPLATE,system-definition-interview,uses,SRC-TEMPLATE-RDR,sys-for-ai/skills/core/system-definition-interview/SKILL.md,System-definition adapter writes discovery records from the controlled template.
REL-CONTEXT45-SKILL-USES-METRICS,system-definition-interview-context-45,uses,SRC-METRICS-SCRIPT,sys-for-ai/skills/core/system-definition-interview-context-45/SKILL.md,Context-45 adapter depends on metrics for fail-closed continuation decisions.
REL-AJ-SKILL-SYNC-AUTHORIZES-SKILLS,SRC-AJ-SKILL-SYNC-001,authorizes,system-definition-interview,sys-for-ai/control_records/agentjobs/AJ-P1-SKILL-SYNC-001.yaml,AgentJob authorizes local system-definition skill integration under source-first boundaries.
REL-AJ-METRICS-AUTHORIZES-CONTEXT45,SRC-AJ-CODEX-METRICS-ADAPT-001,authorizes,system-definition-interview-context-45,sys-for-ai/control_records/agentjobs/AJ-P1-CODEX-METRICS-ADAPT-001.yaml,AgentJob authorizes metrics support needed for context-45 continuation decisions.
REL-AJ-TEMPLATE-AUTHORIZES-RDR,SRC-AJ-SYSTEM-DEFINITION-TEMPLATE-001,authorizes,SRC-TEMPLATE-RDR,sys-for-ai/control_records/agentjobs/AJ-P1-SYSTEM-DEFINITION-TEMPLATE-001.yaml,AgentJob authorizes controlled requirements-discovery template creation and validation.
REL-SKILL-POLICY-ROUTES-SYSDEF,SRC-SKILL-INTEGRATION-POLICY,routes_to,system-definition-interview,sys-for-ai/docs/skill_integration_policy.md,Skill integration policy makes system-definition the front door when target-system intent is unclear.
REL-DOCUMENT-SPINE-BOUNDS-PRD,SRC-SYSTEM-DOCUMENT-SPINE,bounds,SRC-PRD-P0,sys-for-ai/docs/system_document_spine.md,System-document spine prevents Product Requirements Documents from becoming the only system authority surface.
REL-VALIDATORS-USE-CONTRACTS,SRC-VALIDATOR-CORE,validates_with,SRC-REG-VALIDATION-CONTRACTS,sys-for-ai/sys_for_ai/validators.py,Core validators use the validation contract registry to validate TOML YAML and CSV rows.
REL-CLI-EXPOSES-FORMAT-VALIDATORS,SRC-CLI-PHASE1,exposes,SRC-VALIDATOR-CORE,sys-for-ai/sys_for_ai/cli.py,CLI exposes format-profile TOML JSON Schema registry graph and generated derivative checks.
REL-MAKE-RUNS-FORMAT-VALIDATORS,SRC-MAKE-PHASE1,runs,SRC-VALIDATOR-CORE,sys-for-ai/Makefile,Make validate includes the Pass 1 format-profile validation spine.
REL-DERIVATIVES-TRACE-CONFIG-REGISTRY,der_configuration_control_index,traces_to,SRC-REG-CONFIG-SOURCES,sys-for-ai/docs/generated/configuration_control/index.md,Generated Configuration and Control Wiki stubs trace to configuration and control registries.
REL-CATALOG-TRACES-CONTRACT-REGISTRY,der_validation_contracts_index,traces_to,SRC-REG-VALIDATION-CONTRACTS,sys-for-ai/docs/generated/validation_contracts/index.md,Generated Validation Contracts Catalog stubs trace to validation contract registry.
REL-REQ-TRACE-COVERS-P0,SRC-REG-REQ-TRACE,traces_to,SRC-PRD-P0,sys-for-ai/registries/requirement_trace_registry.csv,Requirement trace registry maps explicit Phase 0 requirement rows to coverage rows semantic trace classes and review verdicts.
REL-REQ-TRACE-COVERS-P1,SRC-REG-REQ-TRACE,traces_to,SRC-PRD-P1,sys-for-ai/registries/requirement_trace_registry.csv,Requirement trace registry maps Phase 0 requirements to Phase 1 initialization selectors.
REL-REQ-TRACE-CONFORMS-CONTRACT,SRC-REG-REQ-TRACE,conforms_to,SRC-CONTRACT-REQUIREMENT-TRACE-ROW,sys-for-ai/registries/requirement_trace_registry.csv,Requirement trace registry rows validate against trace class justification and review verdict rules in the row contract.
REL-CLI-EXPOSES-REQ-TRACE,SRC-CLI-PHASE1,exposes,SRC-VALIDATOR-CORE,sys-for-ai/sys_for_ai/cli.py,CLI exposes requirement trace validation.
REL-MAKE-RUNS-REQ-TRACE,SRC-MAKE-PHASE1,runs,SRC-VALIDATOR-CORE,sys-for-ai/Makefile,Make validate includes requirement trace validation.
