source_id,path,source_type,authority_status,owner,last_reviewed,notes
SRC-PRD-P0,PRDs/Sys4AI_phase-0_product_system_design_prd.md,prd,canonical,product_system_design,2026-07-10,Canonical Phase 0 product and system-design baseline with approved identity lifecycle pattern SFA-VISION-001 and SFA-VALUE-001 through 008 under human-authorized G-08.
SRC-PRD-P1,PRDs/Sys4AI_phase-1_implementation_initialization_prd.md,prd,canonical_draft,implementation_initialization,2026-07-09,TX-06-accepted Phase 1 initialization baseline with exact strategic lifecycle pattern host portable-execution capability package validation and migration requirements; no runtime completion or G-08 approval claim.
SRC-SCHEMA-DISCOVERY-RECORD,Sys4AI/schemas/discovery_record.schema.yaml,schema,controlled,system_definition,2026-07-09,Schema-like Markdown contract with conditional strategic-intent discovery obligations for new or substantially changed target systems.
SRC-TEMPLATE-RDR,Sys4AI/templates/system_definition/requirements-discovery-record-template.md,template,controlled,system_definition,2026-07-09,Controlled RDR template including candidate vision values anti-values approval waiver pattern maturity and operational discovery fields.
SRC-TEMPLATE-TEMP-PRD,Sys4AI/templates/system_definition/temp-prd-template.md,template,controlled,system_definition,2026-07-09,Controlled resumable handoff template preserving candidate strategic intent approval gaps waivers and review state.
SRC-SYSDEF-CONTROL-README,Sys4AI/control_records/system_definition/README.md,control_record_policy,controlled,system_definition,2026-07-05,Directory policy for system-definition discovery records and related handoff artifacts.
SRC-VALIDATOR-CORE,Sys4AI/sys_for_ai/validators.py,validator_library,controlled,implementation_initialization,2026-07-06,Core Phase 1 validation helpers for AgentJob skill registry metrics and registry-header checks.
SRC-VALIDATOR-DISCOVERY,Sys4AI/sys_for_ai/discovery.py,validator,controlled,system_definition,2026-07-06,Discovery-record validator enforcing required sections candidate IDs and authority-boundary markers.
SRC-CLI-PHASE1,Sys4AI/sys_for_ai/cli.py,cli,controlled,implementation_initialization,2026-07-10,CLI surface exposing Phase 1 validation memory and Phase 2 flows including the non-writing TX-11 trace migration dry-run; broader trace semantics remain assigned to TX-13.
SRC-MAKE-PHASE1,Sys4AI/Makefile,makefile,controlled,implementation_initialization,2026-07-10,Developer validation entry points including the non-writing TX-11 trace migration dry-run structural host profiles Phase 2 walking skeleton and target package validation.
SRC-WALKING-SKELETON-FLOW-MODULE,Sys4AI/sys_for_ai/walking_skeleton.py,validator,controlled,framework_product,2026-07-11,Manifest-driven strategic walking-skeleton graph and reader generator with accepted framework G-08 and independent target host production stakeholder and domain boundaries.
SRC-TRACE-FLOW-MODULE,Sys4AI/sys_for_ai/trace_flow.py,model,controlled,framework_product,2026-07-10,Strategic walking-skeleton active artifact lifecycle and historical appendix data model.
SRC-METRICS-SCRIPT,Sys4AI/skills/core/codex-usage-metrics/scripts/collect_usage_metrics.py,script,controlled,runtime_session_accounting,2026-07-06,Operational local metrics helper used by codex-usage-metrics and context-45 adapters.
SRC-TEMP-PRD-ARCHIVE-SCRIPT,Sys4AI/skills/core/codex-usage-metrics/scripts/archive_temp_prd.py,script,controlled,runtime_session_accounting,2026-07-06,Operational local archive helper used by context-45 adapters to preserve stale temp_prd checkpoints before fresh sessions.
SRC-AJ-SKILL-SYNC-001,Sys4AI/control_records/agentjobs/AJ-P1-SKILL-SYNC-001.yaml,agentjob,historical,skill_governance,2026-07-06,AgentJob authorizing current system-definition skill integration into manifest validators adapters and registries.
SRC-AJ-CODEX-METRICS-ADAPT-001,Sys4AI/control_records/agentjobs/AJ-P1-CODEX-METRICS-ADAPT-001.yaml,agentjob,historical,runtime_session_accounting,2026-07-06,AgentJob authorizing local codex-usage-metrics adaptation or explicit fail-closed policy.
SRC-AJ-SYSTEM-DEFINITION-TEMPLATE-001,Sys4AI/control_records/agentjobs/AJ-P1-SYSTEM-DEFINITION-TEMPLATE-001.yaml,agentjob,historical,system_definition,2026-07-06,AgentJob authorizing controlled requirements-discovery and temp-prd templates plus optional validation.
SRC-SYSTEM-DOCUMENT-SPINE,Sys4AI/docs/system_document_spine.md,policy,controlled,system_definition,2026-07-06,Policy defining the practical document chain beyond Product Requirements Documents.
SRC-SKILL-INTEGRATION-POLICY,Sys4AI/docs/skill_integration_policy.md,policy,controlled,skill_governance,2026-07-06,Policy defining core skill routing and context-45 continuation rules.
SRC-REG-FORMAT-PROFILES,Sys4AI/registries/format_profile_registry.csv,format_profile_registry,controlled,implementation_initialization,2026-07-06,Registry defining core file-format memory profiles.
SRC-REG-CONFIG-SOURCES,Sys4AI/registries/config_source_registry.csv,config_source_registry,controlled,implementation_initialization,2026-07-06,Registry defining TOML configuration sources and contracts.
SRC-REG-CONTROL-RECORDS,Sys4AI/registries/control_record_registry.csv,control_record_registry,controlled,implementation_initialization,2026-07-06,Registry defining YAML control and state records.
SRC-REG-VALIDATION-CONTRACTS,Sys4AI/registries/validation_contract_registry.csv,validation_contract_registry,controlled,implementation_initialization,2026-07-06,Registry defining executable validation contracts.
SRC-REG-SOURCES,Sys4AI/registries/source_registry.csv,source_registry,controlled,implementation_initialization,2026-07-07,Registry defining source authority rows and registered source paths.
SRC-REG-DERIVATIVES,Sys4AI/registries/derivative_registry.csv,derivative_registry,controlled,implementation_initialization,2026-07-07,Registry defining generated derivative rows and source trace.
SRC-REG-OBJECT-RELATIONSHIPS,Sys4AI/registries/object_relationship_registry.csv,object_relationship_registry,controlled,source_first_memory,2026-07-07,Registry defining source-first memory object relationships.
