crosswalk_id,role_id,skill_id,binding_type,required_when,system_layer_scope,invocation_policy,authority_status,evidence_path,source_hash,last_validated_at,notes
cross_user_wants_elicitor_system_definition_interview_context_45_req,user_wants_elicitor,system-definition-interview-context-45,required,new or changed system definition,framework_product;target_system_template;target_system_instance,use before USRD baseline,controlled,PRDs/Sys4AI_phase-0_product_system_design_prd.md,pending,pending,Default discovery gate skill.
cross_user_wants_elicitor_conversation_to_prd_opt,user_wants_elicitor,conversation-to-prd,optional,after discovery is complete,framework_product;target_system_template;target_system_instance,use only after explicit approval,controlled,PRDs/Sys4AI_phase-0_product_system_design_prd.md,pending,pending,Optional PRD synthesis skill.
cross_user_wants_elicitor_decision_grilling_context_45_opt,user_wants_elicitor,decision-grilling-context-45,optional,when decisions need structured clarification,framework_product;target_system_template;target_system_instance,use for focused decision discovery,controlled,PRDs/Sys4AI_phase-0_product_system_design_prd.md,pending,pending,Optional clarification skill.
cross_requirements_manager_conversation_to_prd_req,requirements_manager,conversation-to-prd,required,when producing requirements artifacts,framework_product;target_system_template;target_system_instance,use for requirements synthesis,controlled,PRDs/Sys4AI_phase-0_product_system_design_prd.md,pending,pending,Required requirements synthesis skill.
cross_requirements_manager_technical_writing_quality_gate_req,requirements_manager,technical-writing-quality-gate,required,before requirements baseline,framework_product;target_system_template;target_system_instance,use as quality gate,controlled,PRDs/Sys4AI_phase-0_product_system_design_prd.md,pending,pending,Required writing quality skill.
cross_requirements_manager_traceability_matrix_engine_opt,requirements_manager,traceability-matrix-engine,optional,when trace matrix is needed,framework_product;target_system_template;target_system_instance,use when proposal exists or skill is active,controlled,implementation_plans/Sys4AI-dev_all_recommendations_implementation_plan.md,pending,pending,Future trace skill proposal.
cross_system_architect_decision_grilling_req,system_architect,decision-grilling,required,when architecture decisions are unclear,framework_product;target_system_template;target_system_instance,use for architecture decision clarification,controlled,PRDs/Sys4AI_phase-0_product_system_design_prd.md,pending,pending,Required decision clarification skill.
cross_system_architect_mermaid_diagrams_req,system_architect,mermaid-diagrams,required,when diagrams are needed,framework_product;target_system_template;target_system_instance,use for source-controlled diagrams,controlled,PRDs/Sys4AI_phase-0_product_system_design_prd.md,pending,pending,Required diagram skill.
cross_system_architect_artifact_contract_governance_opt,system_architect,artifact-contract-governance,optional,when artifact contracts need validation,framework_product;target_system_template;target_system_instance,use when proposal exists or skill is active,controlled,implementation_plans/Sys4AI-dev_all_recommendations_implementation_plan.md,pending,pending,Future artifact contract skill proposal.
cross_technical_requirements_engineer_prd_to_implementation_plan_req,technical_requirements_engineer,prd-to-implementation-plan,required,when technical plan is needed,framework_product;target_system_template;target_system_instance,use for implementation planning,controlled,PRDs/Sys4AI_phase-0_product_system_design_prd.md,pending,pending,Required planning skill.
cross_technical_requirements_engineer_verification_validation_planner_req,technical_requirements_engineer,verification-validation-planner,required,when verification evidence is needed,framework_product;target_system_template;target_system_instance,use when proposal exists or skill is active,controlled,implementation_plans/Sys4AI-dev_all_recommendations_implementation_plan.md,pending,pending,Future verification planner proposal.
cross_requirements_verifier_technical_writing_quality_gate_req,requirements_verifier,technical-writing-quality-gate,required,before accepting requirements,framework_product;target_system_template;target_system_instance,use as quality gate,controlled,PRDs/Sys4AI_phase-0_product_system_design_prd.md,pending,pending,Required quality gate.
cross_requirements_verifier_traceability_matrix_engine_req,requirements_verifier,traceability-matrix-engine,required,when traceability is reviewed,framework_product;target_system_template;target_system_instance,use when proposal exists or skill is active,controlled,implementation_plans/Sys4AI-dev_all_recommendations_implementation_plan.md,pending,pending,Future traceability proposal.
cross_documentation_librarian_source_authority_auditor_req,documentation_librarian,source-authority-auditor,required,when source authority is reviewed,development_system;framework_product,use when proposal exists or skill is active,controlled,implementation_plans/Sys4AI-dev_all_recommendations_implementation_plan.md,pending,pending,Future source authority proposal.
cross_documentation_librarian_skill_import_generalizer_req,documentation_librarian,skill-import-generalizer,required,when skill import is governed,development_system;framework_product,use for skill import governance,controlled,PRDs/Sys4AI_phase-0_product_system_design_prd.md,pending,pending,Required skill governance skill.
cross_control_loop_agentjob_planner_continue_req,control_loop_agentjob_planner,continue,required,when continuation is designed,development_system;framework_product;target_system_template;target_system_instance,use for tracked continuation,controlled,implementation_plans/self_hosting_boundary_decision_record.md,pending,pending,Required continuation skill.
cross_control_loop_agentjob_planner_agentjob_task_packet_author_req,control_loop_agentjob_planner,agentjob-task-packet-author,required,when task packets are authored,development_system;framework_product;target_system_template;target_system_instance,use when proposal exists or skill is active,controlled,implementation_plans/Sys4AI-dev_all_recommendations_implementation_plan.md,pending,pending,Future AgentJob author proposal.
cross_context_memory_knowledge_architect_source_first_memory_req,context_memory_knowledge_architect,source-first-memory,required,when source-first memory is designed,development_system;framework_product;target_system_template;target_system_instance,use for memory navigation,controlled,implementation_plans/self_hosting_boundary_decision_record.md,pending,pending,Required memory skill.
cross_context_memory_knowledge_architect_source_authority_auditor_req,context_memory_knowledge_architect,source-authority-auditor,required,when authority audit is needed,development_system;framework_product;target_system_template;target_system_instance,use when proposal exists or skill is active,controlled,implementation_plans/Sys4AI-dev_all_recommendations_implementation_plan.md,pending,pending,Future authority auditor proposal.
cross_runtime_maintenance_planner_operations_maintenance_planner_req,runtime_maintenance_planner,operations-and-maintenance-planner,required,when operations plan is needed,target_system_template;target_system_instance,use when proposal exists or skill is active,controlled,implementation_plans/Sys4AI-dev_all_recommendations_implementation_plan.md,pending,pending,Future operations planner proposal.
cross_security_reviewer_threat_model_permission_scope_req,security_safety_privacy_compliance_reviewer,threat-model-and-permission-scope,required,when safety or privacy risk is present,framework_product;target_system_template;target_system_instance,use when proposal exists or skill is active,controlled,implementation_plans/Sys4AI-dev_all_recommendations_implementation_plan.md,pending,pending,Future threat model proposal.
cross_system_director_director_decision_governor_req,system_director,director-decision-governor,required,when routing is not determined,development_system;framework_product;target_system_template;target_system_instance,use when proposal exists or skill is active,controlled,implementation_plans/Sys4AI-dev_all_recommendations_implementation_plan.md,pending,pending,Future Director decision proposal.
