trace_id,phase0_selector,phase0_source,coverage_status,trace_class,semantic_justification,semantic_review_verdict,phase1_selectors,evidence_paths,notes
TRACE-SFA-CORE-ID-001,SFA-CORE-ID-001,SRC-PRD-P0,covered,implemented,,,SFA-P1-INIT-REPO-004,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md,Expanded from TRACE-P0-IDENTITY. Phase 1 preserves the Phase 0 authority surface outside the implementation package.
TRACE-SFA-CORE-ID-002,SFA-CORE-ID-002,SRC-PRD-P0,covered,implemented,,,SFA-P1-INIT-REPO-004,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md,Expanded from TRACE-P0-IDENTITY. Phase 1 preserves the Phase 0 authority surface outside the implementation package.
TRACE-SFA-CORE-ID-003,SFA-CORE-ID-003,SRC-PRD-P0,covered,implemented,,,SFA-P1-INIT-REPO-004,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md,Expanded from TRACE-P0-IDENTITY. Phase 1 preserves the Phase 0 authority surface outside the implementation package.
TRACE-SFA-P0-FR-001,SFA-P0-FR-001,SRC-PRD-P0,covered,implemented,,,SFA-P1-INIT-REPO-004,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md,Expanded from TRACE-P0-IDENTITY. Phase 1 preserves the Phase 0 authority surface outside the implementation package.
TRACE-SFA-P0-FR-002,SFA-P0-FR-002,SRC-PRD-P0,covered,implemented,,,SFA-P1-INIT-REPO-004,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md,Expanded from TRACE-P0-IDENTITY. Phase 1 preserves the Phase 0 authority surface outside the implementation package.
TRACE-SFA-P0-FR-003,SFA-P0-FR-003,SRC-PRD-P0,covered,implemented,,,SFA-P1-INIT-REPO-004,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md,Expanded from TRACE-P0-IDENTITY. Phase 1 preserves the Phase 0 authority surface outside the implementation package.
TRACE-SFA-P0-FR-004,SFA-P0-FR-004,SRC-PRD-P0,covered,implemented,,,SFA-P1-INIT-REPO-004,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md,Expanded from TRACE-P0-IDENTITY. Phase 1 preserves the Phase 0 authority surface outside the implementation package.
TRACE-SFA-CORE-LIFE-001,SFA-CORE-LIFE-001,SRC-PRD-P0,partial,deferred,Phase 1 records baseline boundaries and Docker deferral; full lifecycle runtime execution is later-phase work.,sufficient,SFA-P1-INIT-REPO-004;SFA-P1-INIT-DOCKER-*,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;implementation_plans/phase-1_environment_decision_record.md;sys-for-ai/docs/docker_decision_guide.md,Expanded from TRACE-P0-LIFECYCLE. Phase 1 initializes the implementation boundary and defers later lifecycle runtime choices.
TRACE-SFA-CORE-LIFE-002,SFA-CORE-LIFE-002,SRC-PRD-P0,partial,deferred,Phase 1 records baseline boundaries and Docker deferral; full lifecycle runtime execution is later-phase work.,sufficient,SFA-P1-INIT-REPO-004;SFA-P1-INIT-DOCKER-*,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;implementation_plans/phase-1_environment_decision_record.md;sys-for-ai/docs/docker_decision_guide.md,Expanded from TRACE-P0-LIFECYCLE. Phase 1 initializes the implementation boundary and defers later lifecycle runtime choices.
TRACE-SFA-CORE-LIFE-003,SFA-CORE-LIFE-003,SRC-PRD-P0,partial,deferred,Phase 1 records baseline boundaries and Docker deferral; full lifecycle runtime execution is later-phase work.,sufficient,SFA-P1-INIT-REPO-004;SFA-P1-INIT-DOCKER-*,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;implementation_plans/phase-1_environment_decision_record.md;sys-for-ai/docs/docker_decision_guide.md,Expanded from TRACE-P0-LIFECYCLE. Phase 1 initializes the implementation boundary and defers later lifecycle runtime choices.
TRACE-SFA-P0-FR-014,SFA-P0-FR-014,SRC-PRD-P0,partial,deferred,Phase 1 records baseline boundaries and Docker deferral; full lifecycle runtime execution is later-phase work.,sufficient,SFA-P1-INIT-REPO-004;SFA-P1-INIT-DOCKER-*,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;implementation_plans/phase-1_environment_decision_record.md;sys-for-ai/docs/docker_decision_guide.md,Expanded from TRACE-P0-LIFECYCLE. Phase 1 initializes the implementation boundary and defers later lifecycle runtime choices.
TRACE-SFA-P0-FR-015,SFA-P0-FR-015,SRC-PRD-P0,partial,deferred,Phase 1 records baseline boundaries and Docker deferral; full lifecycle runtime execution is later-phase work.,sufficient,SFA-P1-INIT-REPO-004;SFA-P1-INIT-DOCKER-*,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;implementation_plans/phase-1_environment_decision_record.md;sys-for-ai/docs/docker_decision_guide.md,Expanded from TRACE-P0-LIFECYCLE. Phase 1 initializes the implementation boundary and defers later lifecycle runtime choices.
TRACE-SFA-P0-NFR-007,SFA-P0-NFR-007,SRC-PRD-P0,partial,deferred,Phase 1 records baseline boundaries and Docker deferral; full lifecycle runtime execution is later-phase work.,sufficient,SFA-P1-INIT-REPO-004;SFA-P1-INIT-DOCKER-*,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;implementation_plans/phase-1_environment_decision_record.md;sys-for-ai/docs/docker_decision_guide.md,Expanded from TRACE-P0-LIFECYCLE. Phase 1 initializes the implementation boundary and defers later lifecycle runtime choices.
TRACE-SFA-P0-NFR-008,SFA-P0-NFR-008,SRC-PRD-P0,partial,deferred,Phase 1 records baseline boundaries and Docker deferral; full lifecycle runtime execution is later-phase work.,sufficient,SFA-P1-INIT-REPO-004;SFA-P1-INIT-DOCKER-*,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;implementation_plans/phase-1_environment_decision_record.md;sys-for-ai/docs/docker_decision_guide.md,Expanded from TRACE-P0-LIFECYCLE. Phase 1 initializes the implementation boundary and defers later lifecycle runtime choices.
TRACE-SFA-P0-NFR-012,SFA-P0-NFR-012,SRC-PRD-P0,partial,deferred,Phase 1 records baseline boundaries and Docker deferral; full lifecycle runtime execution is later-phase work.,sufficient,SFA-P1-INIT-REPO-004;SFA-P1-INIT-DOCKER-*,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;implementation_plans/phase-1_environment_decision_record.md;sys-for-ai/docs/docker_decision_guide.md,Expanded from TRACE-P0-LIFECYCLE. Phase 1 initializes the implementation boundary and defers later lifecycle runtime choices.
TRACE-SFA-CORE-ART-001,SFA-CORE-ART-001,SRC-PRD-P0,partial,scaffolded,Phase 1 installs skill and control-record scaffolds; full role and artifact operation remains later-phase work.,sufficient,SFA-P1-INIT-SKILL-*;SFA-P1-INIT-YAML-*,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;sys-for-ai/skills/core_skill_manifest.yaml;sys-for-ai/registries/control_record_registry.csv;sys-for-ai/docs/system_document_spine.md;sys-for-ai/docs/skill_integration_policy.md,Expanded from TRACE-P0-ROLE-ARTIFACTS. Phase 1 installs skill and control-record scaffolds for later role and artifact execution.
TRACE-SFA-CORE-ROLE-001,SFA-CORE-ROLE-001,SRC-PRD-P0,partial,scaffolded,Phase 1 installs skill and control-record scaffolds; full role and artifact operation remains later-phase work.,sufficient,SFA-P1-INIT-SKILL-*;SFA-P1-INIT-YAML-*,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;sys-for-ai/skills/core_skill_manifest.yaml;sys-for-ai/registries/control_record_registry.csv;sys-for-ai/docs/system_document_spine.md;sys-for-ai/docs/skill_integration_policy.md,Expanded from TRACE-P0-ROLE-ARTIFACTS. Phase 1 installs skill and control-record scaffolds for later role and artifact execution.
TRACE-SFA-P0-FR-005,SFA-P0-FR-005,SRC-PRD-P0,partial,scaffolded,Phase 1 installs skill and control-record scaffolds; full role and artifact operation remains later-phase work.,sufficient,SFA-P1-INIT-SKILL-*;SFA-P1-INIT-YAML-*,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;sys-for-ai/skills/core_skill_manifest.yaml;sys-for-ai/registries/control_record_registry.csv;sys-for-ai/docs/system_document_spine.md;sys-for-ai/docs/skill_integration_policy.md,Expanded from TRACE-P0-ROLE-ARTIFACTS. Phase 1 installs skill and control-record scaffolds for later role and artifact execution.
TRACE-SFA-P0-FR-007,SFA-P0-FR-007,SRC-PRD-P0,partial,scaffolded,Phase 1 installs skill and control-record scaffolds; full role and artifact operation remains later-phase work.,sufficient,SFA-P1-INIT-SKILL-*;SFA-P1-INIT-YAML-*,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;sys-for-ai/skills/core_skill_manifest.yaml;sys-for-ai/registries/control_record_registry.csv;sys-for-ai/docs/system_document_spine.md;sys-for-ai/docs/skill_integration_policy.md,Expanded from TRACE-P0-ROLE-ARTIFACTS. Phase 1 installs skill and control-record scaffolds for later role and artifact execution.
TRACE-SFA-CORE-TRACE-001,SFA-CORE-TRACE-001,SRC-PRD-P0,covered,implemented,,,SFA-P1-INIT-VAL-008,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;sys-for-ai/registries/requirement_trace_registry.csv,Expanded from TRACE-P0-TRACEABILITY. Requirement trace validation checks ID uniqueness and Phase 0 coverage.
