artifact_contract_id,artifact_type,canonical_filename_or_pattern,producer_role_ids,consumer_role_ids,system_layer_scope,authority_default,lifecycle_status,required_sections,validation_contract_id,registry_required,derivative_surfaces,promotion_rule,source_hash,last_validated_at,notes
artifact_rdr,RDR,requirements-discovery-record.md,user_wants_elicitor,requirements_manager;system_director,framework_product;target_system_template;target_system_instance,controlled_candidate,current,Authority Notice;System Layer Classification;Discovery Gate Exit Checklist;Candidate Requirements;Evidence Register;Open Questions;Downstream Routing Recommendation,contract_discovery_record_registry_row,true,none,Promote only through requirements authority workflow,pending,pending,RDR captures discovery before formal baseline.
artifact_usrd,USRD,USRD.md,user_wants_elicitor,requirements_manager;reconciliation_analyst,framework_product;target_system_template;target_system_instance,canonical_draft,current,Purpose;Stakeholders;User Goals;Source Trace,,true,markdown_derivative,Director baseline approval required,pending,pending,User requirements artifact.
artifact_esar,ESAR,ESAR.md,existing_system_analyst,requirements_manager;system_architect;technical_requirements_engineer,target_system_instance,controlled,current,Current State;Constraints;Risks;Evidence,,true,markdown_derivative,Controlled source baseline,pending,pending,Existing system assessment artifact.
artifact_srd,SRD,SRD.md,requirements_manager,system_architect;technical_requirements_engineer;requirements_verifier,framework_product;target_system_template;target_system_instance,canonical_draft,current,Requirements;Traceability;Verification Basis;Open Issues,,true,markdown_derivative,Requirements baseline approval required,pending,pending,System requirements artifact.
artifact_ard,ARD,ARD.md,system_architect,technical_requirements_engineer;requirements_verifier,framework_product;target_system_template;target_system_instance,canonical_draft,current,Architecture Drivers;Views;ADRs;Traceability,,true,markdown_derivative,Architecture baseline approval required,pending,pending,Architecture requirements artifact.
artifact_trp,TRP,TRP.md,technical_requirements_engineer,reconciliation_analyst;requirements_verifier,framework_product;target_system_template;target_system_instance,canonical_draft,current,Technical Requirements;Allocation;Verification Matrix;Open Issues,,true,markdown_derivative,Technical baseline approval required,pending,pending,Technical requirements package.
artifact_rsrd,RSRD,RSRD.md,reconciliation_analyst,reconciled_architecture_architect;final_system_requirements_packager,framework_product;target_system_template;target_system_instance,canonical_draft,current,Reconciliation Summary;Requirement Changes;Decision Log,,true,markdown_derivative,Reconciliation baseline approval required,pending,pending,Reconciled system requirements.
artifact_rard,RARD,RARD.md,reconciled_architecture_architect,final_system_requirements_packager,framework_product;target_system_template;target_system_instance,canonical_draft,current,Updated Drivers;Updated Views;ADR Updates,,true,markdown_derivative,Reconciled architecture baseline approval required,pending,pending,Reconciled architecture requirements.
artifact_srp,SRP,SRP.md,final_system_requirements_packager,implementation_initialization_agent,framework_product;target_system_template;target_system_instance,canonical,current,Source Baseline;Final Requirements;Allocation Matrix;Phase 1 Handoff,,true,markdown_derivative,Final package signoff required,pending,pending,System requirements package.
artifact_clra,CLRA,CLRA.md,control_loop_agentjob_planner,final_system_requirements_packager;implementation_initialization_agent,framework_product;target_system_template;target_system_instance,historical,historical,State Model;Director Decision Model;AgentJob Contract;Stop Conditions,,true,markdown_derivative,No current promotion; preserve only as historical compatibility evidence,pending,pending,Control loop requirements annex.
artifact_ckmsra,CKMSRA,CKMSRA.md,context_memory_knowledge_architect,system_architect;implementation_initialization_agent,framework_product;target_system_template;target_system_instance,controlled,current,Authority Hierarchy;Registry Model;Retrieval Surfaces;Memory Preflight,,true,markdown_derivative,Controlled annex baseline,pending,pending,Context and knowledge management annex.
artifact_svcda,SVCDA,SVCDA.md,svc_documentation_surface_architect,final_system_requirements_packager;implementation_initialization_agent,framework_product;target_system_template;target_system_instance,controlled,current,Source Classes;Supersession Model;Generated Catalog Model;Checkpoint Model,,true,markdown_derivative,Controlled annex baseline,pending,pending,Source version control and derivative annex.
artifact_agentjob,AgentJob,control_records/agentjobs/*.yaml,control_loop_agentjob_planner,software_engineer;verification_engineer,development_system;framework_product,historical,historical,Objective;Allowed Reads;Allowed Writes;Validators;Stop Conditions,contract_agentjob_v0_2,true,configuration_control_wiki,No current promotion; preserve only as historical compatibility evidence,pending,pending,AgentJob control record.
artifact_director_decision,DirectorDecision,control_records/director_decisions/*.yaml,system_director,bounded_execution_planner;implementation_initialization_agent,development_system;framework_product,controlled,current,Decision Context;Selected Route;Rejected Routes;Authority Boundary,contract_director_decision,true,configuration_control_wiki,Supersede activated records,pending,pending,Director decision control record.
artifact_handoff,Handoff,control_records/handoffs/*.yaml,system_engineer;implementation_initialization_agent;documentation_librarian,system_director;all_agents,development_system;framework_product,controlled,current,Summary;Traceability;Memory Preflight;Stop Conditions,contract_handoff_v0_2,true,configuration_control_wiki,Supersede activated records,pending,pending,Handoff control record.
