skill_id,local_path,source_repo,source_path,family,adaptation_status,lifecycle_status,last_reviewed,notes
codex-usage-metrics,skills/core/codex-usage-metrics,https://github.com/AngryOwlAI/ai-skills-for-sys,skills/codex-usage-metrics,runtime_session_accounting,adapter_shell,adapter_shell,2026-07-06,Phase 1 adapter shell with operational collect_usage_metrics.py and archive_temp_prd.py; full upstream adaptation review pending.
system-definition-interview,skills/core/system-definition-interview,https://github.com/AngryOwlAI/ai-skills-for-sys,skills/system-definition-interview,system_definition_elicitation,adapter_shell,adapter_shell,2026-07-05,Phase 1 adapter shell; upstream template added 2026-07-05; exact local adaptation pending.
system-definition-interview-context-45,skills/core/system-definition-interview-context-45,https://github.com/AngryOwlAI/ai-skills-for-sys,skills/system-definition-interview-context-45,system_definition_elicitation,adapter_shell,adapter_shell,2026-07-06,"Phase 1 adapter shell; requires codex-usage-metrics support fail-closed temp_prd.md handoff behavior, confirmed stale-checkpoint archiving, and explicit end-of-questioning /conversation-to-prd confirmation."
conversation-to-prd,skills/core/conversation-to-prd,https://github.com/AngryOwlAI/ai-skills-for-sys,skills/conversation-to-prd,requirements_production,adapter_shell,adapter_shell,2026-07-04,"Phase 1 adapter shell, exact upstream adaptation pending."
decision-grilling,skills/core/decision-grilling,https://github.com/AngryOwlAI/ai-skills-for-sys,skills/decision-grilling,decision_clarification,adapter_shell,adapter_shell,2026-07-04,"Phase 1 adapter shell, exact upstream adaptation pending."
decision-grilling-context-45,skills/core/decision-grilling-context-45,https://github.com/AngryOwlAI/ai-skills-for-sys,skills/decision-grilling-context-45,decision_clarification,adapter_shell,adapter_shell,2026-07-06,"Phase 1 adapter shell with threshold-only temp_prd.md handoff, confirmed stale-checkpoint archiving, and explicit end-of-questioning /conversation-to-prd confirmation; exact upstream adaptation pending."
domain-grilling-with-docs,skills/core/domain-grilling-with-docs,https://github.com/AngryOwlAI/ai-skills-for-sys,skills/domain-grilling-with-docs,domain_documentation_clarification,adapter_shell,adapter_shell,2026-07-04,"Phase 1 adapter shell, exact upstream adaptation pending."
domain-grilling-with-docs-context-45,skills/core/domain-grilling-with-docs-context-45,https://github.com/AngryOwlAI/ai-skills-for-sys,skills/domain-grilling-with-docs-context-45,domain_documentation_clarification,adapter_shell,adapter_shell,2026-07-06,"Phase 1 adapter shell with threshold-only temp_prd.md handoff, confirmed stale-checkpoint archiving, and explicit end-of-questioning /conversation-to-prd confirmation; exact upstream adaptation pending."
mermaid-diagrams,skills/core/mermaid-diagrams,https://github.com/AngryOwlAI/ai-skills-for-sys,skills/mermaid-diagrams,technical_communication,adapter_shell,adapter_shell,2026-07-04,"Phase 1 adapter shell, exact upstream adaptation pending."
plantuml-diagrams,skills/core/plantuml-diagrams,https://github.com/AngryOwlAI/ai-skills-for-sys,skills/plantuml-diagrams,technical_communication,adapter_shell,adapter_shell,2026-07-04,"Phase 1 adapter shell, exact upstream adaptation pending."
