registry_id,path,registry_scope,purpose,owner,authority_status,expected_header,row_id_field,validation_method,promotion_rule,source_hash,last_validated_at,notes
registry_agentjob,registries/agentjob_registry.csv,core,Preserve historical bounded-execution registration,execution_governance,registry_authority,agentjob_id;path;execution_profile;lifecycle_status;status;role_id;task_id;created_at;activated_at;completed_at;completion_receipt_id;handoff_id;authority_status;supersedes;source_hash;last_validated_at;notes,agentjob_id,make validate-registry-graph,registry_change_transaction,pending,2026-07-11,Historical rows remain explicitly noncurrent after runtime retirement.
registry_artifact_contract,registries/artifact_contract_registry.csv,core,Govern controlled artifact producer consumer and validation contracts,artifact_contract_governance,registry_authority,artifact_contract_id;artifact_type;canonical_filename_or_pattern;producer_role_ids;consumer_role_ids;system_layer_scope;authority_default;lifecycle_status;required_sections;validation_contract_id;registry_required;derivative_surfaces;promotion_rule;source_hash;last_validated_at;notes,artifact_contract_id,make validate-artifact-contracts,registry_change_transaction,pending,2026-07-11,Rows declare artifact authority and validation obligations.
registry_completion_receipt,registries/completion_receipt_registry.csv,core,Index bounded execution completion receipts,execution_governance,registry_authority,completion_receipt_id;path;execution_profile;execution_transaction_id;legacy_execution_id;result;validation_status;changed_artifacts_count;next_handoff_id;source_hash;last_validated_at;notes,completion_receipt_id,make validate-completion-receipt-registry,registry_change_transaction,pending,2026-07-11,Receipt rows are controlled navigation to completion evidence.
registry_config_source,registries/config_source_registry.csv,core,Register governed project configuration sources,configuration_governance,registry_authority,config_id;path;format;config_domain;authority_status;owner;parser;validation_contract_id;consumers;secrets_allowed;environment_scope;supersedes;source_hash;last_validated_at;notes,config_id,make validate-config-sources,registry_change_transaction,pending,2026-07-11,Configuration rows require parser contract and secrets policy.
registry_control_record,registries/control_record_registry.csv,core,Register controlled execution decision state and evidence records,execution_governance,registry_authority,control_record_id;path;record_type;execution_profile;authority_status;owner;validation_contract_id;allowed_writers;allowed_readers;related_execution_transaction_id;related_legacy_execution_id;supersedes;source_hash;last_validated_at;notes,control_record_id,make validate-control-records,registry_change_transaction,pending,2026-07-11,Control records remain subject to their declared lifecycle and authority.
registry_core_skill_proposal,registries/core_skill_proposal_registry.csv,core,Govern candidate core skill proposals,skill_lifecycle_governance,registry_authority,proposal_id;skill_id;skill_family;priority;status;core_or_project_specific;required_by_roles;source_rationale;target_runtime_path;product_scaffold_path;validator_plan;owner;source_hash;last_validated_at;notes,proposal_id,make validate-core-skill-proposals,registry_change_transaction,pending,2026-07-11,Proposal rows do not grant runtime activation.
registry_derivative,registries/derivative_registry.csv,core,Register generated and draft derivative reader surfaces,source_authority_governance,registry_authority,derivative_id;path;derivative_type;source_ids;generation_method;last_generated;status;notes,derivative_id,make validate-generated-derivatives,registry_change_transaction,pending,2026-07-11,The registry is authoritative metadata while registered derivative files remain noncanonical.
registry_director_decision,registries/director_decision_registry.csv,core,Index accountable Director decisions,director_decision_governance,registry_authority,director_decision_id;path;status;task_id;selected_route;execution_profile;selected_execution_transaction_id;selected_legacy_execution_id;authority_status;supersedes;source_hash;last_validated_at;notes,director_decision_id,make validate-director-decision-registry,registry_change_transaction,pending,2026-07-11,Decision rows cannot bypass human authority gates.
registry_discovery_record,registries/discovery_record_registry.csv,core,Register requirements discovery records,requirements_discovery_governance,registry_authority,discovery_record_id;path;subject_system_id;subject_layer;status;execution_profile;producer_execution_transaction_id;producer_legacy_execution_id;source_authority_status;candidate_requirement_count;open_question_count;downstream_usrd_path;validation_status;source_hash;last_validated_at;notes,discovery_record_id,make validate-discovery-records,registry_change_transaction,pending,2026-07-11,Discovery artifacts remain candidates until promoted.
registry_evidence_closure_plan,registries/evidence_closure_plan_registry.csv,core,Freeze classified closure obligations from TX-23,evidence_closure_governance,registry_authority,closure_id;trace_id;requirement_id;gap_dimension;current_state;closure_route;accountable_role;prerequisite;planned_evidence;status;notes,closure_id,make validate-evidence-closure-plan,registry_change_transaction,pending,2026-07-11,TX-23 ledger bytes are frozen and later execution evidence is additive.
