role_id,role_name,role_class,system_layer_scope,primary_mission,required_skills,optional_skills,forbidden_skills,primary_outputs,allowed_artifact_classes,may_create_agentjobs,requires_director_decision,authority_status,owner,supersedes,source_hash,last_validated_at,notes
system_director,System Director,framework_governance,development_system;framework_product;target_system_template;target_system_instance,Orchestrate phases gates handoffs and artifact governance,director-decision-governor;system-layer-classifier,source-first-memory,,system-design-run-manifest;artifact-registry;traceability-ledger;open-issues-register;design-phase-readiness-report,control_records;requirements;handoffs,true,true,controlled,system_director,,pending,pending,Orchestrates phases gates handoffs and artifact governance.
user_wants_elicitor,System Developer / User Wants Elicitor,system_design_core,framework_product;target_system_template;target_system_instance,Run discovery gate and capture user intent,system-definition-interview-context-45,conversation-to-prd;decision-grilling-context-45,,RDR;USRD,requirements;discovery,false,false,controlled,system_director,,pending,pending,Default discovery role for new system definitions.
existing_system_analyst,Existing System Analyst,system_design_support,target_system_instance,Analyze brownfield or related current state,domain-grilling-with-docs,source-first-memory,,ESAR,analysis;requirements,false,false,controlled,system_director,,pending,pending,Brownfield current-state analysis role.
requirements_manager,System Manager / Requirements Manager,system_design_core,framework_product;target_system_template;target_system_instance,Convert user wants to system requirements,conversation-to-prd;technical-writing-quality-gate,decision-grilling;traceability-matrix-engine,,SRD,requirements,false,false,controlled,system_director,,pending,pending,Requirements normalization role.
system_architect,System Architect,system_design_core,framework_product;target_system_template;target_system_instance,Derive architecture drivers views and decisions,decision-grilling;mermaid-diagrams;plantuml-diagrams,artifact-contract-governance;interface-and-integration-discovery,,ARD,architecture;diagrams,false,false,controlled,system_director,,pending,pending,Architecture requirements role.
technical_requirements_engineer,System Engineer / Technical Requirements Engineer,system_design_core,framework_product;target_system_template;target_system_instance,Convert requirements and architecture into buildable technical requirements,prd-to-implementation-plan;verification-validation-planner,agentjob-task-packet-author,,TRP,requirements;implementation_plans,false,false,controlled,system_director,,pending,pending,Technical requirements and allocation role.
reconciliation_analyst,System Analyst / Reconciliation Analyst,system_design_core,framework_product;target_system_template;target_system_instance,Reconcile user intent and technical obligations,decision-grilling,traceability-matrix-engine,,RSRD,requirements,false,false,controlled,system_director,,pending,pending,Reconciliation role.
reconciled_architecture_architect,Reconciled Architecture Architect,system_design_core,framework_product;target_system_template;target_system_instance,Update architecture after reconciliation,mermaid-diagrams;decision-grilling,artifact-contract-governance,,RARD,architecture;diagrams,false,false,controlled,system_director,,pending,pending,Reconciled architecture role.
final_system_requirements_packager,Final System Requirements Packager,system_design_core,framework_product;target_system_template;target_system_instance,Package implementation-ready requirements,prd-to-implementation-plan;technical-writing-quality-gate,traceability-matrix-engine,,SRP,requirements;implementation_plans,false,false,controlled,system_director,,pending,pending,Final requirements packaging role.
requirements_verifier,Requirements Verifier / Consistency Auditor,verification,framework_product;target_system_template;target_system_instance,Check consistency traceability and quality,technical-writing-quality-gate;traceability-matrix-engine,verification-validation-planner,,review-report,validation;requirements,false,false,controlled,system_director,,pending,pending,Requirements verification role.
domain_specialist,Domain Specialist,system_design_support,target_system_instance,Validate domain assumptions and terminology,domain-grilling-with-docs,technical-writing-quality-gate,,domain-review,analysis;requirements,false,false,controlled,system_director,,pending,pending,Domain-specific validation hook.
security_safety_privacy_compliance_reviewer,Security Safety Privacy and Compliance Reviewer,verification,framework_product;target_system_template;target_system_instance,Review risk controls and compliance obligations,threat-model-and-permission-scope;assurance-case-builder,verification-validation-planner,,risk-review,security;validation,false,false,controlled,system_director,,pending,pending,Risk and control review role.
documentation_librarian,Documentation Librarian / Configuration Controller,framework_governance,development_system;framework_product,Maintain artifact index IDs derivative policy and source authority,source-authority-auditor;skill-import-generalizer,technical-writing-quality-gate,,artifact-index;configuration-control,documentation;registries;generated_derivatives,false,false,controlled,system_director,,pending,pending,Configuration and documentation governance role.
runtime_maintenance_planner,Runtime and Maintenance Planner,maintenance,target_system_template;target_system_instance,Define operations monitoring updates and maintenance,operations-and-maintenance-planner,evaluation-harness-designer,,maintenance-plan,operations;maintenance,false,false,controlled,system_director,,pending,pending,Runtime and maintenance planning role.
control_loop_agentjob_planner,Control Loop and AgentJob Planner,runtime_control,development_system;framework_product;target_system_template;target_system_instance,Define continuation and bounded work semantics,continue;agentjob-task-packet-author;context-window-and-handoff-manager,director-decision-governor,,CLRA;AgentJob,control_records;handoffs,true,true,controlled,system_director,,pending,pending,Control-loop and AgentJob planning role.
context_memory_knowledge_architect,Context Memory and Knowledge Architect,system_design_support,development_system;framework_product;target_system_template;target_system_instance,Define source-first memory retrieval and registry rules,source-first-memory;source-authority-auditor,artifact-contract-governance,,CKMSRA,memory;registries,false,false,controlled,system_director,,pending,pending,Source-first memory architecture role.
svc_documentation_surface_architect,SVC and Documentation Surface Architect,system_design_support,framework_product;target_system_template;target_system_instance,Define source control and derivative surfaces,source-authority-auditor;baseline-change-manager,technical-writing-quality-gate,,SVCDA,source_control;derivatives,false,false,controlled,system_director,,pending,pending,Source version control and derivative role.
implementation_initialization_agent,Implementation Initialization Agent,implementation,development_system;framework_product,Initialize implementation scaffold,prd-to-implementation-plan,source-first-memory,,implementation-scaffold,code;registries;schemas;validators,true,true,controlled,system_director,,pending,pending,Phase 1 bootstrap role.
verification_engineer,Verification Engineer,verification,development_system;framework_product;target_system_template;target_system_instance,Create and run validation evidence,verification-validation-planner;technical-writing-quality-gate,evaluation-harness-designer,,validation-report,validation;tests,false,false,controlled,system_director,,pending,pending,Validator and evidence role.
software_engineer,Software Engineer,implementation,development_system;framework_product;target_system_template;target_system_instance,Implement code changes under bounded AgentJobs,prd-to-implementation-plan,source-first-memory,,code-change,code;tests,true,true,controlled,system_director,,pending,pending,Implementation role.
system_engineer,System Engineer,system_design_core,development_system;framework_product;target_system_template;target_system_instance,Compatibility engineering role used by current skill manifests,prd-to-implementation-plan;technical-writing-quality-gate,decision-grilling,,requirements;implementation_plan,requirements;implementation_plans,false,false,controlled,system_director,,pending,pending,Compatibility role posture used by current manifests.
system_analyst,System Analyst,system_design_core,development_system;framework_product;target_system_template;target_system_instance,Compatibility analysis role used by current skill manifests,decision-grilling;source-first-memory,conversation-to-prd,,analysis;requirements,analysis;requirements,false,false,controlled,system_director,,pending,pending,Compatibility role posture used by current manifests.
control_loop_engineer,Control Loop Engineer,temporary_agentjob_role,development_system;framework_product,Maintain temporary self hosting continue loop implementation compatibility,continue;source-first-memory,codex-usage-metrics,,control-loop-kernel;program-state-update,control_records;validators,true,true,controlled,system_director,,pending,pending,Temporary compatibility role for legacy self hosting AgentJobs.
validator_engineer,Validator Engineer,temporary_agentjob_role,development_system;framework_product,Maintain temporary validation AgentJob compatibility,technical-writing-quality-gate;verification-validation-planner,source-first-memory,,validator-update;diff-check,validators;tests,true,true,controlled,system_director,,pending,pending,Temporary compatibility role for legacy validation AgentJobs.
derivative_generator_engineer,Derivative Generator Engineer,temporary_agentjob_role,development_system;framework_product,Maintain temporary generated derivative AgentJob compatibility,source-authority-auditor;technical-writing-quality-gate,,,generated-derivative-update,generated_derivatives;registries,true,true,controlled,system_director,,pending,pending,Temporary compatibility role for legacy derivative generator AgentJobs.
skill_surface_engineer,Skill Surface Engineer,temporary_agentjob_role,development_system;framework_product,Maintain temporary runtime and scaffold skill surface compatibility,skill-import-generalizer;technical-writing-quality-gate,source-first-memory,,skill-surface-update,skills;registries,true,true,controlled,system_director,,pending,pending,Temporary compatibility role for legacy skill surface AgentJobs.
acceptance_engineer,Acceptance Engineer,temporary_agentjob_role,development_system;framework_product,Maintain temporary acceptance evidence AgentJob compatibility,verification-validation-planner;technical-writing-quality-gate,source-first-memory,,acceptance-report;completion-receipt,validation;control_records,true,true,controlled,system_director,,pending,pending,Temporary compatibility role for legacy acceptance AgentJobs.
skill_dependency_adaptation_agent,Skill Dependency Adaptation Agent,temporary_agentjob_role,development_system;framework_product,Maintain temporary skill dependency adaptation compatibility,skill-import-generalizer;codex-usage-metrics,technical-writing-quality-gate,,skill-adapter-update,skills;registries,true,true,controlled,system_director,,pending,pending,Temporary compatibility role for legacy skill dependency AgentJobs.
skill_integration_agent,Skill Integration Agent,temporary_agentjob_role,development_system;framework_product,Maintain temporary skill integration AgentJob compatibility,skill-import-generalizer;source-first-memory,technical-writing-quality-gate,,skill-manifest-update,skills;registries,true,true,controlled,system_director,,pending,pending,Temporary compatibility role for legacy skill integration AgentJobs.
system_definition_template_agent,System Definition Template Agent,temporary_agentjob_role,development_system;framework_product,Maintain temporary system definition template AgentJob compatibility,system-definition-interview;technical-writing-quality-gate,conversation-to-prd,,template-update,templates;discovery,false,true,controlled,system_director,,pending,pending,Temporary compatibility role for legacy system definition template AgentJobs.
