proposal_id,skill_id,skill_family,priority,status,core_or_project_specific,required_by_roles,source_rationale,target_runtime_path,product_scaffold_path,validator_plan,owner,source_hash,last_validated_at,notes
proposal_role_catalog_governance,role-catalog-governance,role_governance,1,scaffolded,core,system_director;documentation_librarian,Maintain role registry role-to-skill crosswalk and execution bindings,.agents/skills/role-catalog-governance,Sys4AI/skills/core/role-catalog-governance,validate-roles,system_director,pending,2026-07-07,Scaffolded in AJ-SFADEV-07-CORE-SKILLS-BATCH-1-001.
proposal_system_layer_classifier,system-layer-classifier,system_layer_governance,2,scaffolded,core,system_director,Classify development framework template target and derivative layers before work,.agents/skills/system-layer-classifier,Sys4AI/skills/core/system-layer-classifier,validate-system-layers,system_director,pending,2026-07-07,Scaffolded in AJ-SFADEV-07-CORE-SKILLS-BATCH-1-001.
proposal_artifact_contract_governance,artifact-contract-governance,artifact_governance,3,scaffolded,core,system_architect;documentation_librarian,Define and validate artifact contracts,.agents/skills/artifact-contract-governance,Sys4AI/skills/core/artifact-contract-governance,validate-artifact-contracts,system_director,pending,2026-07-07,Scaffolded in AJ-SFADEV-07-CORE-SKILLS-BATCH-1-001.
proposal_traceability_matrix_engine,traceability-matrix-engine,traceability_governance,4,scaffolded,core,requirements_manager;requirements_verifier,Maintain trace from discovery through validation and maintenance,.agents/skills/traceability-matrix-engine,Sys4AI/skills/core/traceability-matrix-engine,validate-requirement-trace,system_director,pending,2026-07-07,Scaffolded in AJ-SFADEV-07-CORE-SKILLS-BATCH-1-001.
proposal_director_decision_governor,director-decision-governor,decision_governance,5,scaffolded,core,system_director,Create validate supersede and apply Director Decision Records,.agents/skills/director-decision-governor,Sys4AI/skills/core/director-decision-governor,validate-director-decisions,system_director,pending,2026-07-07,Scaffolded in AJ-SFADEV-07-CORE-SKILLS-BATCH-1-001.
proposal_verification_validation_planner,verification-validation-planner,verification_planning,6,scaffolded,core,technical_requirements_engineer;requirements_verifier;verification_engineer,Convert requirements into V and V plans matrices and evidence obligations,.agents/skills/verification-validation-planner,Sys4AI/skills/core/verification-validation-planner,make validate,system_director,pending,2026-07-07,Scaffolded in AJ-SFADEV-08-CORE-SKILLS-BATCH-2-001.
proposal_source_authority_auditor,source-authority-auditor,source_authority,7,scaffolded,core,documentation_librarian;context_memory_knowledge_architect,Audit canonical sources derivatives stale docs and authority inversions,.agents/skills/source-authority-auditor,Sys4AI/skills/core/source-authority-auditor,validate-registry-graph,system_director,pending,2026-07-07,Scaffolded in AJ-SFADEV-07-CORE-SKILLS-BATCH-1-001.
proposal_context_window_and_handoff_manager,context-window-and-handoff-manager,context_handoff,8,scaffolded,core,bounded_execution_planner,Generalize context checkpoint and resumable handoff behavior,.agents/skills/context-window-and-handoff-manager,Sys4AI/skills/core/context-window-and-handoff-manager,validate-handoffs,system_director,pending,2026-07-10,Bound to the current portable bounded-execution role; original scaffold evidence remains in historical control records.
proposal_threat_model_permission_scope,threat-model-and-permission-scope,safety_security_privacy,9,scaffolded,core,security_safety_privacy_compliance_reviewer,Identify permissions autonomy tool data risks and controls,.agents/skills/threat-model-and-permission-scope,Sys4AI/skills/core/threat-model-and-permission-scope,make validate,system_director,pending,2026-07-07,Scaffolded in AJ-SFADEV-08-CORE-SKILLS-BATCH-2-001.
proposal_evaluation_harness_designer,evaluation-harness-designer,evaluation_design,10,scaffolded,core,runtime_maintenance_planner;verification_engineer,Design eval scenarios rubrics regression checks and failure probes,.agents/skills/evaluation-harness-designer,Sys4AI/skills/core/evaluation-harness-designer,make validate,system_director,pending,2026-07-07,Scaffolded in AJ-SFADEV-08-CORE-SKILLS-BATCH-2-001.
